Date,Price,High,Low,Close
02/08/23, 76.99, 79.05, 74.05, 77.67
02/07/23, 76.71, 77.93, 75.64, 77.02
02/06/23, 76.50, 78.12, 75.90, 76.72
02/03/23, 76.44, 78.17, 76.09, 76.28
02/02/23, 76.81, 81.93, 76.29, 76.46
02/01/23, 76.69, 76.98, 75.63, 76.81
01/31/23, 75.84, 76.78, 75.01, 75.01
01/30/23, 76.91, 76.92, 75.42, 75.88
01/27/23, 75.88, 75.89, 75.06, 75.83
01/26/23, 75.57, 76.13, 75.01, 75.88
01/25/23, 75.62, 75.87, 74.58, 75.57
01/24/23, 74.99, 76.00, 74.54, 75.63
01/23/23, 74.24, 75.68, 74.13, 75.01
01/20/23, 75.17, 75.27, 73.13, 74.10
01/19/23, 74.33, 75.66, 74.13, 75.16
01/18/23, 73.90, 75.34, 73.75, 74.68
01/17/23, 74.40, 75.42, 73.88, 74.18
01/16/23, 71.60, 74.96, 71.42, 74.39
01/13/23, 73.57, 75.08, 72.87, 74.76
01/12/23, 73.48, 75.76, 72.46, 73.56
01/11/23, 74.80, 75.38, 72.93, 73.47
01/10/23, 75.03, 75.12, 73.77, 74.79
01/09/23, 77.18, 77.43, 74.15, 75.04
01/06/23, 75.91, 77.34, 75.07, 77.18
01/05/23, 76.89, 77.16, 75.30, 75.92
01/04/23, 76.33, 77.94, 73.97, 77.15
01/03/23, 75.76, 77.95, 74.55, 76.31
01/02/23, 79.11, 83.86, 75.62, 75.74
12/30/22, 78.36, 82.98, 74.85, 78.93
12/29/22, 77.19, 79.60, 75.80, 78.90
12/28/22, 74.47, 77.73, 74.38, 77.21
12/27/22, 72.72, 75.62, 72.68, 74.49
12/26/22, 74.95, 74.95, 72.28, 72.72
12/23/22, 72.33, 74.87, 71.62, 74.57
12/22/22, 76.81, 77.74, 72.22, 72.34
12/21/22, 74.64, 77.04, 73.05, 76.82
12/20/22, 72.01, 76.03, 71.28, 74.64
12/19/22, 68.76, 73.58, 68.18, 72.65
12/16/22, 68.68, 69.60, 62.94, 68.69
12/15/22, 69.18, 69.74, 66.94, 68.70
12/14/22, 67.22, 69.25, 66.95, 69.17
12/13/22, 66.66, 67.47, 66.00, 67.21
12/12/22, 65.93, 66.91, 65.28, 66.27
12/09/22, 66.92, 66.95, 65.49, 65.86
12/08/22, 65.16, 67.00, 65.07, 66.92
12/07/22, 66.35, 66.86, 63.31, 65.13
12/06/22, 65.66, 66.73, 63.53, 66.34
12/05/22, 65.86, 66.43, 63.77, 65.67
12/02/22, 64.43, 65.93, 63.71, 65.89
12/01/22, 64.00, 65.40, 63.09, 64.44
11/30/22, 62.84, 64.02, 62.51, 64.01
11/29/22, 63.96, 64.00, 62.79, 62.84
11/28/22, 63.01, 64.28, 62.12, 63.61
11/25/22, 62.84, 67.80, 62.57, 62.92
11/24/22, 63.21, 63.36, 62.21, 62.86
11/23/22, 62.51, 63.27, 62.27, 63.20
11/22/22, 62.73, 62.89, 62.09, 62.51
11/21/22, 62.95, 63.01, 61.88, 62.72
11/18/22, 62.67, 63.52, 62.30, 62.82
11/17/22, 63.19, 63.22, 61.76, 62.68
11/16/22, 62.61, 63.96, 62.36, 63.18
11/15/22, 63.38, 63.75, 61.45, 62.61
11/14/22, 62.81, 63.51, 61.44, 63.39
11/11/22, 62.34, 63.26, 61.32, 62.94
11/10/22, 61.07, 62.42, 60.45, 62.35
11/09/22, 61.54, 62.17, 61.05, 61.08
11/08/22, 61.54, 63.81, 60.17, 61.42
11/07/22, 61.90, 62.15, 60.05, 61.83
11/04/22, 60.79, 62.11, 60.33, 61.74
11/03/22, 59.88, 61.25, 59.84, 60.80
11/02/22, 60.99, 62.70, 59.86, 59.89
11/01/22, 61.32, 61.54, 59.89, 60.97
10/31/22, 61.31, 61.95, 60.79, 61.33
10/28/22, 61.10, 62.36, 61.03, 61.33
10/27/22, 61.80, 62.25, 61.06, 61.11
10/26/22, 61.80, 62.24, 61.13, 61.79
10/25/22, 61.23, 62.33, 60.42, 61.81
10/24/22, 60.80, 61.72, 60.06, 61.23
10/21/22, 60.33, 60.85, 59.49, 60.81
10/20/22, 59.61, 63.06, 59.50, 60.34
10/19/22, 60.64, 61.62, 59.62, 60.60
10/18/22, 61.08, 61.66, 60.43, 61.42
10/17/22, 60.91, 61.85, 59.82, 61.07
10/14/22, 62.57, 63.45, 60.09, 60.91
10/13/22, 61.84, 64.04, 61.13, 62.10
10/12/22, 63.58, 63.66, 61.21, 61.84
10/11/22, 61.92, 63.51, 60.14, 62.28
10/10/22, 60.09, 62.78, 59.51, 61.93
10/07/22, 59.27, 61.17, 59.23, 60.09
10/06/22, 60.04, 61.24, 58.38, 59.27
10/05/22, 58.95, 60.67, 57.86, 60.06
10/04/22, 57.01, 59.23, 56.90, 58.94
10/03/22, 59.01, 60.77, 56.01, 57.01
09/30/22, 56.44, 60.48, 55.24, 59.02
09/29/22, 56.38, 57.35, 55.41, 56.43
09/28/22, 56.51, 57.00, 55.51, 56.92
09/27/22, 56.20, 58.37, 55.71, 56.52
09/26/22, 56.10, 59.23, 54.70, 56.22
09/23/22, 58.93, 60.60, 55.10, 56.09
09/22/22, 60.11, 60.67, 58.27, 58.91
09/21/22, 61.23, 64.22, 59.81, 60.10
09/20/22, 60.20, 62.11, 59.95, 61.22
09/19/22, 60.61, 64.57, 59.89, 60.22
09/16/22, 59.62, 61.69, 59.54, 60.59
09/15/22, 59.62, 64.19, 59.40, 59.62
09/14/22, 59.31, 64.56, 59.29, 59.61
09/13/22, 61.38, 64.95, 59.28, 59.44
09/12/22, 62.44, 62.94, 60.58, 61.36
09/09/22, 61.50, 62.03, 60.37, 61.78
09/08/22, 60.85, 64.49, 60.42, 61.49
09/07/22, 60.70, 64.39, 59.87, 61.20
09/06/22, 60.57, 61.75, 60.25, 60.69
09/05/22, 59.99, 62.45, 58.67, 60.59
09/02/22, 60.25, 61.26, 59.88, 60.01
09/01/22, 60.82, 61.34, 58.74, 60.21
08/31/22, 60.09, 61.42, 60.05, 60.83
08/30/22, 61.73, 62.18, 60.09, 60.10
08/29/22, 60.08, 64.81, 59.78, 61.75
08/26/22, 60.22, 63.93, 59.49, 60.09
08/25/22, 59.64, 60.71, 59.29, 60.23
08/24/22, 60.08, 63.82, 59.29, 59.62
08/23/22, 59.78, 60.52, 58.72, 60.06
08/22/22, 59.73, 60.27, 59.15, 59.77
08/19/22, 60.53, 60.78, 58.92, 59.75
08/18/22, 61.59, 62.14, 60.33, 60.52
08/17/22, 62.55, 62.61, 61.18, 61.59
08/16/22, 62.48, 62.80, 61.49, 62.57
08/15/22, 63.87, 63.87, 62.03, 62.49
08/12/22, 62.57, 63.92, 61.92, 63.86
08/11/22, 63.47, 63.67, 62.09, 62.58
08/10/22, 61.76, 63.93, 61.49, 63.46
08/09/22, 63.08, 63.51, 61.35, 61.77
08/08/22, 61.64, 63.38, 60.42, 63.08
08/05/22, 63.02, 63.39, 61.39, 61.62
08/04/22, 62.28, 63.80, 60.93, 63.03
08/03/22, 61.76, 63.08, 60.50, 62.29
08/02/22, 64.66, 66.53, 60.70, 61.76
08/01/22, 63.62, 65.42, 62.04, 64.65
07/29/22, 63.74, 65.47, 61.69, 63.66
07/28/22, 60.54, 63.79, 60.45, 63.23
07/27/22, 60.83, 62.66, 59.95, 60.55
07/26/22, 59.80, 61.99, 59.04, 60.83
07/25/22, 59.36, 60.41, 58.14, 59.79
07/22/22, 58.31, 60.87, 57.26, 59.38
07/21/22, 56.01, 59.91, 55.96, 58.31
07/20/22, 57.79, 58.27, 55.59, 56.01
07/19/22, 57.83, 58.61, 56.38, 57.78
07/18/22, 57.46, 59.47, 57.02, 57.82
07/15/22, 58.38, 59.66, 56.91, 57.49
07/14/22, 58.82, 60.54, 58.00, 58.38
07/13/22, 58.66, 62.49, 58.42, 58.82
07/12/22, 65.26, 65.37, 58.55, 58.64
07/11/22, 66.10, 67.61, 61.66, 62.77
