Store code,the date,Number of sales,Unit cost,Selling price,Store code
1434555,04/01/2015,  1    ,  80    ,  75    ,
1444116,04/01/2015,  4    ,  72    ,  71    ,
1458711,04/01/2015,  1    ,  67    ,  70    ,
1463048,04/01/2015,  4    ,  84    ,  98    ,
1463473,04/01/2015,  2    ,  54    ,  54    ,
1478073,04/01/2015,  1    ,  67    ,  70    ,
1479073,04/01/2015,  1    ,  84    ,  96    ,
1484789,04/01/2015,  1    ,  108    ,  150    ,
101462,05/01/2015,- 1    ,  193    ,  246    ,
105122,05/01/2015,  1    ,  80    ,  107    ,
105426,05/01/2015,  1    ,  94    ,  107    ,
111687,05/01/2015,  1    ,  48    ,  46    ,
1125039,05/01/2015,  1    ,  69    ,  80    ,
1125726,05/01/2015,  1    ,  72    ,  64    ,
1136014,05/01/2015,  1    ,  94    ,  107    ,
1136019,05/01/2015,  2    ,  53    ,  50    ,
1141563,05/01/2015,  1    ,  72    ,  64    ,
1141565,05/01/2015,  6    ,  57    ,  59    ,
1143361,05/01/2015,  1    ,  80    ,  75    ,
1143366,05/01/2015,  2    ,  66    ,  60    ,
1143403,05/01/2015,  1    ,  48    ,  46    ,
1144860,05/01/2015,  3    ,  73    ,  68    ,
1145299,05/01/2015,  1    ,  69    ,  83    ,
1147019,05/01/2015,  3    ,  72    ,  75    ,
1147091,05/01/2015,  2    ,  82    ,  99    ,
1147199,05/01/2015,  2    ,  78    ,  71    ,
1147528,05/01/2015,  1    ,  75    ,  67    ,
1149642,05/01/2015,  1    ,  57    ,  54    ,
1149711,05/01/2015,  2    ,  67    ,  80    ,
1149714,05/01/2015,  1    ,  41    ,  48    ,
1151738,05/01/2015,  1    ,  124    ,  177    ,
1152052,05/01/2015,  1    ,  41    ,  48    ,
1153461,05/01/2015,  2    ,  57    ,  57    ,
1153463,05/01/2015,  1    ,  57    ,  57    ,
1153471,05/01/2015,  2    ,  71    ,  75    ,
1153473,05/01/2015,  1    ,  59    ,  75    ,
1153474,05/01/2015,  2    ,  65    ,  63    ,
1153511,05/01/2015,  1    ,  69    ,  83    ,
1153515,05/01/2015,  1    ,  48    ,  46    ,
1153518,05/01/2015,  1    ,  80    ,  75    ,
1153519,05/01/2015,  5    ,  72    ,  80    ,
1153520,05/01/2015,  2    ,  67    ,  88    ,
1153524,05/01/2015,  2    ,  62    ,  67    ,
1153525,05/01/2015,  2    ,  118    ,  163    ,
1153531,05/01/2015,  1    ,  48    ,  46    ,
1153534,05/01/2015,  1    ,  65    ,  43    ,
1156629,05/01/2015,  1    ,  75    ,  71    ,
1156658,05/01/2015,  2    ,  67    ,  73    ,
1160923,05/01/2015,  1    ,  54    ,  54    ,
1166831,05/01/2015,  1    ,  94    ,  113    ,
1168831,05/01/2015,  1    ,  54    ,  70    ,
1171771,05/01/2015,  1    ,  99    ,  138    ,
1178717,05/01/2015,  1    ,  57    ,  54    ,
1178750,05/01/2015,  1    ,  54    ,  54    ,
1179050,05/01/2015,  1    ,  41    ,  48    ,
1186262,05/01/2015,  1    ,  48    ,  46    ,
1196175,05/01/2015,  1    ,  57    ,  54    ,
1196189,05/01/2015,  1    ,  74    ,  75    ,
1225244,05/01/2015,  1    ,  41    ,  48    ,
1225745,05/01/2015,  1    ,  131    ,  166    ,
1231645,05/01/2015,  1    ,  48    ,  46    ,
1269345,05/01/2015,  1    ,  57    ,  54    ,
1271440,05/01/2015,  2    ,  64    ,  60    ,
1275785,05/01/2015,  1    ,  66    ,  91    ,
1276755,05/01/2015,  1    ,  72    ,  64    ,
1287824,05/01/2015,  2    ,  85    ,  88    ,
1294511,05/01/2015,  1    ,  67    ,  70    ,
1294702,05/01/2015,  1    ,  72    ,  64    ,
1310523,05/01/2015,  1    ,  57    ,  54    ,
1316043,05/01/2015,  1    ,  59    ,  75    ,
1319593,05/01/2015,  1    ,  48    ,  46    ,
1333626,05/01/2015,  1    ,  48    ,  54    ,
1343936,05/01/2015,  1    ,  57    ,  54    ,
1345915,05/01/2015,  3    ,  89    ,  116    ,
